gid,date,div_number,motion_text,ayes,noes,colnum,time
uk.org.publicwhip/debate/2020-01-07b.338.4,2020-01-07,3,"This new clause provides for all EU citizens who are resident in the UK before exit day to have the right of permanent residence, whether or not they have been exercising treaty rights, and makes sure that every person who is entitled to settled status has the same rights.",252,342,338,20:15:00
uk.org.publicwhip/debate/2020-01-07b.343.3,2020-01-07,4,"(5) A Minister of the Crown may amend, waive or restrict any requirement of any other person to pay a fee to register as a British citizen where the Secretary of State considers it appropriate or necessary to do so in consequence of any discrimination between people of, or children of people of, differing nationality or other status.” .—(Stuart C. McDonald.)",255,341,343,20:15:00
uk.org.publicwhip/debate/2020-01-07b.348.3,2020-01-07,5,This new clause would establish a right to appeal settled status decisions.,251,343,348,20:15:00
uk.org.publicwhip/debate/2020-01-08c.440.3,2020-01-08,6,,262,340,440,14:38:00
uk.org.publicwhip/debate/2020-01-08c.445.3,2020-01-08,7,,252,348,445,14:38:00
uk.org.publicwhip/debate/2020-01-08c.451.0,2020-01-08,8,,251,347,451,14:38:00
uk.org.publicwhip/debate/2020-01-08c.456.3,2020-01-08,9,,262,337,456,14:38:00
uk.org.publicwhip/debate/2020-01-08c.532.3,2020-01-08,10,,255,344,532,19:00:00
uk.org.publicwhip/debate/2020-01-08c.537.3,2020-01-08,11,,254,344,537,19:00:00
uk.org.publicwhip/debate/2020-01-08c.542.3,2020-01-08,12,,250,345,542,19:00:00
uk.org.publicwhip/debate/2020-01-08d.440.3,2020-01-08,6,This amendment would apply the usual restrictions on Ministers’ delegated power to make regulations under the Government’s proposed new section 8C of the European Union (Withdrawal) Act 2018.,262,340,440,14:38:00
uk.org.publicwhip/debate/2020-01-08d.445.3,2020-01-08,7,This amendment would protect the right for unaccompanied child refugees to be reunited with their family after Brexit.,252,348,445,14:38:00
uk.org.publicwhip/debate/2020-01-08d.451.0,2020-01-08,8,"This new clause ensures that MPs get a guaranteed vote with an amendable motion on the EU-UK Future Relationship and negotiating objectives, and sets out scrutiny of the negotiating mandate. It requires a sustainability impact assessment of the future relationship; the regular release of negotiation texts; and engagement with devolved administrations.",251,347,451,14:38:00
uk.org.publicwhip/debate/2020-01-08d.456.3,2020-01-08,9,,262,337,456,14:38:00
uk.org.publicwhip/debate/2020-01-08d.532.3,2020-01-08,10,,255,344,532,19:00:00
uk.org.publicwhip/debate/2020-01-08d.537.3,2020-01-08,11,This new clause would require the Government to seek to negotiate continuing full membership of the EU’s Erasmus+ education and youth programme.,254,344,537,19:00:00
uk.org.publicwhip/debate/2020-01-08d.542.3,2020-01-08,12,This new clause would require the UK Government to seek close alignment with the EU single market on key level playing-field provisions such as workers’ rights and environmental and consumer standards and protections as part of its negotiations for the future relationship with the EU.,250,345,542,19:00:00
uk.org.publicwhip/debate/2020-01-09b.712.0,2020-01-09,13,,62,329,712,16:44:00
uk.org.publicwhip/debate/2020-01-09b.715.0,2020-01-09,14,,330,231,715,16:44:00
uk.org.publicwhip/debate/2020-01-09c.712.0,2020-01-09,13,,62,329,712,16:44:00
uk.org.publicwhip/debate/2020-01-09c.715.0,2020-01-09,14,,330,231,715,16:44:00
uk.org.publicwhip/debate/2020-01-16d.1261.0,2020-01-16,15,,222,313,1261,16:51:00
uk.org.publicwhip/debate/2020-01-16e.1261.0,2020-01-16,15,,222,313,1261,16:51:00
uk.org.publicwhip/debate/2020-01-16f.1261.0,2020-01-16,15,,222,313,1261,16:51:00
uk.org.publicwhip/debate/2020-01-20c.125.0,2020-01-20,16,,236,342,125,21:46:00
uk.org.publicwhip/debate/2020-01-20c.130.0,2020-01-20,17,,59,341,130,21:46:00
uk.org.publicwhip/debate/2020-01-20c.133.0,2020-01-20,18,,59,341,133,21:46:00
uk.org.publicwhip/debate/2020-01-20c.136.0,2020-01-20,19,,334,247,136,21:46:00
uk.org.publicwhip/debate/2020-01-20e.125.0,2020-01-20,16,,236,342,125,21:46:00
uk.org.publicwhip/debate/2020-01-20e.130.0,2020-01-20,17,"“but particularly regrets the Government’s intention to use the Immigration Bill to end freedom of movement within Europe; believes that freedom of movement has brought immeasurable social, cultural and economic benefits to the people of Scotland, England, Wales and Northern Ireland and the European Union as a whole; further believes that freedom of movement should be maintained irrespective of the UK’s future membership status of the European Union; notes that the Gracious Speech lacked proposals for bills that expand parental leave, protect the NHS, introduce tougher legal targets to address the climate emergency, increase the minimum wage to an equal wage, bring justice to the 3.8 million women born in the 1950s who will be denied their pensions at the proper age, and abolish nuclear weapons; further regrets that the Gracious Speech does not contain provision to end the freeze of social security benefits or scrap the two-child limit and so-called rape clause attached to child tax credits; rejects the Government’s proposals for leaving the European Union; and believes the European Union (Withdrawal Agreement) Bill must not become law unless and until it has received legislative consent from the Senedd and the Scottish Parliament.”.—(Ian Blackford.)",59,341,130,21:46:00
uk.org.publicwhip/debate/2020-01-20e.133.0,2020-01-20,18,"“but respectfully regrets that the Gracious Speech does not set out sufficiently ambitious plans to tackle the climate emergency by reducing net greenhouse gas emissions to zero, such as improving the energy efficiency of houses and offices, bringing forward the date for ending the sale of new petrol and diesel cars, expanding renewable energy and banning fracking, and setting out the Government’s objectives for COP26 in Glasgow later this year; further regrets that the Gracious Speech does not set out measures to tackle poverty and inequality and to improve social justice, such as scrapping the two-child limit, increasing in-work benefits and guaranteeing continued employment and skills support currently provided through European Social Funding; is concerned that proposals in the Gracious Speech for a Constitution, Democracy and Rights Commission are intended to curtail human rights, strengthen the executive and limit the role of the courts, rather than to strengthen the voice of citizens; and urges your Government to introduce a system of proportional representation, to end the democratic outrage of one party securing a majority of seats in this House with only a minority of votes and another party receiving less than 2 per cent of seats despite securing 11.5 per cent of votes.”—(Sir Edward Davey.)",59,341,133,21:46:00
uk.org.publicwhip/debate/2020-01-20e.136.0,2020-01-20,19,,334,247,136,21:46:00
uk.org.publicwhip/debate/2020-01-22a.351.3,2020-01-22,24,,349,246,351,14:05:00
uk.org.publicwhip/debate/2020-01-22b.333.0,2020-01-22,20,,338,252,333,14:05:00
uk.org.publicwhip/debate/2020-01-22b.337.3,2020-01-22,21,,348,246,337,14:05:00
uk.org.publicwhip/debate/2020-01-22b.342.0,2020-01-22,22,,350,247,342,14:05:00
uk.org.publicwhip/debate/2020-01-22b.346.3,2020-01-22,23,,342,254,346,14:05:00
uk.org.publicwhip/debate/2020-01-22b.351.3,2020-01-22,24,,349,246,351,14:05:00
uk.org.publicwhip/debate/2020-01-22c.333.0,2020-01-22,20,,338,252,333,14:05:00
uk.org.publicwhip/debate/2020-01-22c.337.3,2020-01-22,21,,348,246,337,14:05:00
uk.org.publicwhip/debate/2020-01-22c.342.0,2020-01-22,22,,350,247,342,14:05:00
uk.org.publicwhip/debate/2020-01-22c.346.3,2020-01-22,23,,342,254,346,14:05:00
uk.org.publicwhip/debate/2020-01-22c.351.3,2020-01-22,24,,349,246,351,14:05:00
uk.org.publicwhip/debate/2020-01-22d.333.0,2020-01-22,20,,338,252,333,14:05:00
uk.org.publicwhip/debate/2020-01-22d.337.3,2020-01-22,21,"
Clause 26
",348,246,337,14:05:00
uk.org.publicwhip/debate/2020-01-22d.342.0,2020-01-22,22,,350,247,342,14:05:00
uk.org.publicwhip/debate/2020-01-22d.346.3,2020-01-22,23,"
Clause 37
",342,254,346,14:05:00
uk.org.publicwhip/debate/2020-01-22d.351.3,2020-01-22,24,"
Clause 38
",349,246,351,14:05:00
uk.org.publicwhip/debate/2020-01-29b.839.0,2020-01-29,25,,224,330,839,15:47:00
uk.org.publicwhip/debate/2020-01-29b.890.1,2020-01-29,26,,215,311,890,18:49:00
uk.org.publicwhip/debate/2020-01-29c.839.0,2020-01-29,25,,224,330,839,15:47:00
uk.org.publicwhip/debate/2020-01-29c.890.1,2020-01-29,26,,215,311,890,18:49:00
uk.org.publicwhip/debate/2020-01-29d.839.0,2020-01-29,25,,224,330,839,15:47:00
uk.org.publicwhip/debate/2020-01-29d.890.1,2020-01-29,26,,215,311,890,18:49:00
uk.org.publicwhip/debate/2020-02-03a.137.0,2020-02-03,27,,206,320,137,21:50:00
uk.org.publicwhip/debate/2020-02-03b.137.0,2020-02-03,27,,206,320,137,21:50:00
uk.org.publicwhip/debate/2020-02-03c.137.0,2020-02-03,27,,206,320,137,21:50:00
uk.org.publicwhip/debate/2020-02-03d.137.0,2020-02-03,27,,206,320,137,21:50:00
uk.org.publicwhip/debate/2020-02-04a.262.0,2020-02-04,28,,163,300,262,17:29:00
uk.org.publicwhip/debate/2020-02-04a.267.3,2020-02-04,29,,161,298,267,17:29:00
uk.org.publicwhip/debate/2020-02-04a.271.3,2020-02-04,30,,162,298,271,17:29:00
uk.org.publicwhip/debate/2020-02-04b.262.0,2020-02-04,28,,163,300,262,17:29:00
uk.org.publicwhip/debate/2020-02-04b.267.3,2020-02-04,29,,161,298,267,17:29:00
uk.org.publicwhip/debate/2020-02-04b.271.3,2020-02-04,30,,162,298,271,17:29:00
uk.org.publicwhip/debate/2020-02-04e.262.0,2020-02-04,28,,163,300,262,17:29:00
uk.org.publicwhip/debate/2020-02-04e.267.3,2020-02-04,29,The amendment would stop the Secretary of State meeting the NHS England allotment for resource spending by using funds from NHS capital budgets.,161,298,267,17:29:00
uk.org.publicwhip/debate/2020-02-04e.271.3,2020-02-04,30,"This new clause would require the Secretary of State to report annually on whether the allotment to the health service specified in section 1(1) year is sufficient to meet the performance targets set out in the NHS Constitution and, if not, what steps Secretary of State is taking to ensure that those targets are met.",162,298,271,17:29:00
uk.org.publicwhip/debate/2020-02-05a.371.0,2020-02-05,31,,190,329,371,15:48:00
uk.org.publicwhip/debate/2020-02-05a.422.0,2020-02-05,32,,181,311,422,18:49:00
uk.org.publicwhip/debate/2020-02-05b.371.0,2020-02-05,31,,190,329,371,15:48:00
uk.org.publicwhip/debate/2020-02-05b.422.0,2020-02-05,32,,181,311,422,18:49:00
uk.org.publicwhip/debate/2020-02-11d.823.0,2020-02-11,33,,46,322,823,18:49:00
uk.org.publicwhip/debate/2020-02-11e.823.0,2020-02-11,33,,46,322,823,18:49:00
uk.org.publicwhip/debate/2020-02-12b.859.1,2020-02-12,34,,51,316,859,12:37:00
